Date,Open,High,Low,Close,Volume
10/18/2010 15:30:00,17212.24,17968.33,16678.53,17657,1405060
10/19/2010 15:30:00,17612.52,18457.57,17256.72,17834.9,1126570
10/20/2010 15:30:00,17701.48,19880.8,17523.57,19035.76,1492256
10/21/2010 15:30:00,19302.62,19791.85,18679.95,19124.71,832964
10/22/2010 15:30:00,18991.28,19213.66,18413.09,18724.43,418329
10/25/2010 15:30:00,18591,19525,18324.14,19080.23,506993
10/26/2010 15:30:00,19080.23,19391.57,18502.05,18591,396194
10/27/2010 15:30:00,19035.76,19080.23,17923.86,18146.24,575528
10/28/2010 15:30:00,18235.19,18679.95,17879.38,18146.24,473747
10/29/2010 15:30:00,18279.67,18413.09,17879.38,18413.09,333342
11/1/2010 15:30:00,18502.05,20103.18,18190.71,19747.38,979276
11/2/2010 15:30:00,19569.47,20281.09,19035.76,19080.23,597498
11/3/2010 15:30:00,19213.66,19658.42,18857.85,19480.52,323833
11/4/2010 15:30:00,19302.62,19925.28,18813.38,18813.38,433865
11/5/2010 15:30:00,18946.81,18991.28,18279.67,18368.62,355838
11/8/2010 15:30:00,18279.67,18768.9,17879.38,18057.29,264396
11/9/2010 15:30:00,18235.19,18235.19,17434.62,18057.29,340184
11/10/2010 15:30:00,17834.9,18279.67,17657,17657,211986
11/11/2010 15:30:00,18012.81,18368.62,17701.48,17790.43,290431
11/12/2010 15:30:00,17879.38,17968.33,16456.15,16811.96,505231
11/15/2010 15:30:00,16678.53,16811.96,14321.3,14588.15,2003845
11/16/2010 15:30:00,14943.96,15344.24,14499.2,14632.63,1092812
11/17/2010 15:30:00,14365.77,16589.57,14365.77,16189.29,1098410
11/18/2010 15:30:00,16100.34,16367.19,15744.53,15789.01,389788
11/19/2010 15:30:00,15833.48,16189.29,15166.34,15522.15,365085
11/22/2010 15:30:00,15522.15,15789.01,14943.96,15032.91,541282
11/23/2010 15:30:00,15210.82,15833.48,15121.86,15388.72,516553
11/24/2010 15:30:00,14499.2,15789.01,14499.2,15477.67,527719
11/25/2010 15:30:00,15700.05,16811.96,15655.58,16589.57,1025715
11/26/2010 15:30:00,16767.48,16767.48,15744.53,15833.48,391884
11/29/2010 15:30:00,15922.43,16411.67,15877.96,16278.24,376767
11/30/2010 15:30:00,16278.24,16634.05,15922.43,16367.19,259099
12/1/2010 15:30:00,16500.62,17167.76,16278.24,16945.38,566544
12/2/2010 15:30:00,16945.38,17212.24,16500.62,17078.81,390682
12/3/2010 15:30:00,17167.76,17212.24,16589.57,16723,195156
12/6/2010 15:30:00,16811.96,17123.29,16411.67,16811.96,177760
12/7/2010 15:30:00,16811.96,16811.96,16367.19,16767.48,217288
12/8/2010 15:30:00,16723,16900.91,16500.62,16723,157783
12/9/2010 15:30:00,16767.48,17078.81,16545.1,17034.34,342110
12/10/2010 15:30:00,16900.91,16989.86,16589.57,16856.43,205615
12/13/2010 15:30:00,16856.43,17034.34,16367.19,16545.1,166355
12/14/2010 15:30:00,16545.1,16634.05,15388.72,15877.96,650139
12/15/2010 15:30:00,15700.05,15922.43,14677.1,14988.44,1357232
12/16/2010 15:30:00,15077.39,15566.63,14499.2,14988.44,830788
12/17/2010 15:30:00,14810.53,14943.96,13253.87,13965.49,2653067
12/20/2010 15:30:00,13609.68,13787.58,12631.2,13253.87,1191784
12/21/2010 15:30:00,13431.77,14098.91,13342.82,13520.73,841749
12/22/2010 15:30:00,13565.2,13965.49,13565.2,13787.58,439111
12/23/2010 15:30:00,13876.53,13921.01,13209.39,13476.25,367058
12/24/2010 15:30:00,13431.77,14009.96,13209.39,13743.11,348035
12/27/2010 15:30:00,13520.73,13787.58,13342.82,13609.68,172080
12/28/2010 15:30:00,13609.68,14899.48,13476.25,14365.77,1187940
12/29/2010 15:30:00,14276.82,15121.86,14054.44,14899.48,454543
12/30/2010 15:30:00,14855.01,15255.29,14632.63,15032.91,336406
1/3/2011 15:30:00,15299.77,16545.1,15299.77,15922.43,1075319
1/4/2011 15:30:00,16055.86,16233.77,15433.2,15877.96,475272
1/5/2011 15:30:00,16011.39,16233.77,15655.58,16100.34,261605
1/6/2011 15:30:00,16100.34,16856.43,15388.72,16634.05,937467
1/7/2011 15:30:00,16678.53,16945.38,16367.19,16589.57,480706
1/10/2011 15:30:00,16989.86,16989.86,16411.67,16678.53,245112
1/11/2011 15:30:00,16456.15,16634.05,16189.29,16456.15,245505
1/12/2011 15:30:00,16634.05,17745.95,16411.67,17434.62,809087
1/13/2011 15:30:00,17434.62,17879.38,17212.24,17612.52,318738
1/14/2011 15:30:00,17612.52,17879.38,17390.14,17745.95,285729
1/17/2011 15:30:00,17701.48,18146.24,17167.76,17612.52,417881
1/18/2011 15:30:00,17434.62,17612.52,16723,16989.86,382071
1/19/2011 15:30:00,16989.86,17479.1,16678.53,17256.72,282695
1/20/2011 15:30:00,17212.24,17390.14,16900.91,17390.14,290050
1/21/2011 15:30:00,17078.81,17434.62,16411.67,16989.86,358643
1/24/2011 15:30:00,16900.91,17167.76,16589.57,16989.86,195904
1/25/2011 15:30:00,16945.38,17034.34,15922.43,16233.77,394416
1/26/2011 15:30:00,16144.81,16634.05,15833.48,16233.77,294235
1/27/2011 15:30:00,16322.72,17701.48,16189.29,17167.76,730571
1/28/2011 15:30:00,17523.57,18768.9,17390.14,18190.71,1117251
